Term,Year,PHM_1690,PH_1700,PH_1975,PH_1976,admitted.students.BaDS.MS,accepted.offer.of.admission.BaDS.MS,enrolled.students.BaDS.MS,admitted.students.BaDS.PHD,accepted.offer.of.admission.BaDS.PHD,enrolled.students.BaDS.PHD,admitted.students.BaDS.MPH,accepted.offer.of.admission.BaDS.MPH,enrolled.students.BaDS.MPH,admitted.students.EHGES.MS,accepted.offer.of.admission.EHGES.MS,enrolled.students.EHGES.MS,admitted.students.EHGES.PHD,accepted.offer.of.admission.EHGES.PHD,enrolled.students.EHGES.PHD,admitted.students.EHGES.MPH,accepted.offer.of.admission.EHGES.MPH,enrolled.students.EHGES.MPH,admitted.students.HPBS.PHD,accepted.offer.of.admission.HPBS.PHD,enrolled.students.HPBS.PHD,admitted.students.HPBS.MPH,accepted.offer.of.admission.HPBS.MPH,enrolled.students.HPBS.MPH,admitted.students.MPCH.PHD,accepted.offer.of.admission.MPCH.PHD,enrolled.students.MPCH.PHD,admitted.students.MPCH.MPH,accepted.offer.of.admission.MPCH.MPH,enrolled.students.MPCH.MPH,Semester_num,Semester,accept_BaDS,accept_EHGES,accept_HPBS,accept_MPCH,enroll_BaDS,enroll_EHGES,enroll_HPBS,enroll_MPCH,pre_accept_BaDS,pre_accept_EHGES,pre_accept_HPBS,pre_accept_MPCH,pre_enroll_BaDS,pre_enroll_EHGES,pre_enroll_HPBS,pre_enroll_MPCH,Pct_ut,Pct_am,Grd_fem,Grd_mal,PHM_1690_raw
2163.0,2016,153.0,49.0,9999.0,9999.0,45.0,11.0,11.0,33.0,16.0,13.0,18.0,7.0,5.0,14.0,9.0,7.0,45.0,32.0,23.0,181.0,102.0,85.0,36.0,27.0,26.0,112.0,55.0,45.0,23.0,19.0,14.0,101.0,38.0,29.0,3,Fall,34.0,143.0,82.0,57.0,29.0,115.0,71.0,43.0,3.0,27.0,14.0,18.0,2.0,21.0,13.0,15.0,0.3753,0.3802,1750692,1221563,153.0
2173.0,2017,246.0,57.0,36.0,9999.0,33.0,13.0,11.0,43.0,17.0,13.0,19.0,9.0,8.0,20.0,10.0,9.0,55.0,30.0,24.0,178.0,102.0,81.0,29.0,22.0,17.0,132.0,65.0,56.0,27.0,21.0,18.0,84.0,43.0,36.0,3,Fall,39.0,142.0,87.0,64.0,32.0,114.0,73.0,54.0,5.0,20.0,11.0,18.0,5.0,19.0,9.0,16.0,0.4043,0.4016,1785060,1220055,246.0
2183.0,2018,207.0,92.0,36.0,9999.0,48.0,13.0,8.0,66.0,26.0,15.0,20.0,10.0,10.0,15.0,5.0,4.0,49.0,29.0,22.0,216.0,130.0,98.0,37.0,25.0,20.0,111.0,66.0,51.0,36.0,26.0,20.0,90.0,50.0,34.0,3,Fall,49.0,164.0,91.0,76.0,33.0,124.0,71.0,54.0,3.0,25.0,10.0,16.0,3.0,24.0,9.0,15.0,0.424,0.413,1818576,1216466,207.0
2193.0,2019,225.0,79.0,64.0,9999.0,42.0,15.0,12.0,72.0,27.0,21.0,25.0,15.0,13.0,14.0,8.0,5.0,61.0,35.0,26.0,161.0,96.0,74.0,39.0,21.0,18.0,116.0,69.0,54.0,23.0,19.0,10.0,95.0,55.0,42.0,3,Fall,57.0,139.0,90.0,74.0,46.0,105.0,72.0,52.0,4.0,27.0,21.0,15.0,4.0,24.0,19.0,10.0,0.4418,0.4244,1858200,1214439,225.0
2203.0,2020,302.0,96.0,58.0,9999.0,43.0,18.0,14.0,74.0,27.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,56.0,39.0,33.0,312.0,208.0,186.0,54.0,42.0,39.0,173.0,114.0,93.0,30.0,26.0,18.0,145.0,98.0,86.0,3,Fall,45.0,248.0,156.0,124.0,35.0,219.0,132.0,104.0,7.0,32.0,27.0,23.0,4.0,29.0,27.0,22.0,0.4807,0.4238,1922913,1219938,302.0
2213.0,2021,313.0,111.0,91.0,9999.0,63.0,28.0,17.0,171.0,75.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,78.0,54.0,346.0,223.0,177.0,55.0,31.0,23.0,160.0,96.0,76.0,50.0,36.0,25.0,150.0,90.0,69.0,3,Fall,103.0,301.0,127.0,126.0,69.0,231.0,99.0,94.0,5.0,48.0,16.0,19.0,4.0,43.0,15.0,17.0,0.4865,0.4447,1967393,1244038,313.0
2223.0,2022,217.0,108.0,50.0,9999.0,60.0,16.0,14.0,121.0,43.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,59.0,35.0,260.0,168.0,104.0,43.0,29.0,22.0,98.0,58.0,44.0,58.0,47.0,26.0,119.0,74.0,48.0,3,Fall,59.0,227.0,87.0,121.0,42.0,139.0,66.0,74.0,3.0,35.0,13.0,12.0,2.0,29.0,11.0,9.0,0.4955,0.4463,1908707,1182312,217.0
,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,21.0,8.0,8.0,1.0,14.0,6.0,7.0,,,1893388,1158767,
